feature_idx,importance
1091,0.05322964
1092,0.03768936
1093,0.037725884
1094,0.032600194
1095,0.072498456
1096,0.066631325
1097,0.047360327
1098,0.06873861
1099,0.07689593
1100,0.04980979
1101,0.07707067
1102,0.08588567
1103,0.06307226
1104,0.03600253
1105,0.04400485
1106,0.07214583
1107,0.056061808
1108,0.05877948
1109,0.05331258
1110,0.071834125
1111,0.052088894
1112,0.04176315
1113,0.068753235
1114,0.062076848
1115,0.056001354
1116,0.035606943
1117,0.04399352
1118,0.04553292
1119,0.037914705
1120,0.051195033
1121,0.036992446
1122,0.08496409
1123,0.048547525
1124,0.034722295
1125,0.051549967
1126,0.03974037
1127,0.04316702
1128,0.08378609
1129,0.03490717
1130,0.06305676
1131,0.06449586
1132,0.036922097
1133,0.05260665
1134,0.04230281
1135,0.056606308
1136,0.08460381
1137,0.041101873
1138,0.04553382
1139,0.046455227
1140,0.043394238
1141,0.06710149
1142,0.08037806
1143,0.026321683
1144,0.07492008
1145,0.054501485
1146,0.065327175
1147,0.04706367
1148,0.065988354
1149,0.06218047
1150,0.061766315
1151,0.061047062
1152,0.07909882
1153,0.042400375
1154,0.0658796
1155,0.04984964
1156,0.09618249
1157,0.055261444
1158,0.06285908
1159,0.060750756
1160,0.07811364
1161,0.041305188
1162,0.07031287
1163,0.053318914
1164,0.088733934
1165,0.07878768
1166,0.045086328
1167,0.06892495
1168,0.06923557
1169,0.048959102
1170,0.06497808
1171,0.033277996
1172,0.046344973
1173,0.05376594
1174,0.07068143
1175,0.09634655
1176,0.04514621
1177,0.10631469
1178,0.039066494
1179,0.053121943
1180,0.044700548
1181,0.049190093
1182,0.066992275
1183,0.06001104
1184,0.058111254
1185,0.061285973
1186,0.08052471
1187,0.055556364
1188,0.04741438
1189,0.055337586
1190,0.088053025
1191,0.056289554
1192,0.32844967
1193,0.056418188
1194,0.06345553
1195,0.0656048
1196,0.04624507
1197,0.0752752
1198,0.055167697
1199,0.09556848
1200,0.041881584
1201,0.044568334
1202,0.038365748
1203,0.06461531
1204,0.052851073
1205,0.03865241
1206,0.056493137
1207,0.06262792
1208,0.060067177
1209,0.056181543
1210,0.060442973
1211,0.039713394
1212,0.057488497
1213,0.031136075
1214,0.071237005
1215,0.058573633
1216,0.037250947
1217,0.05024617
1218,0.04797706
1219,0.035805598
1220,0.07962767
1221,0.09051687
1222,0.056300085
1223,0.08420212
1224,0.05949716
1225,0.07616853
1226,0.0505455
1227,0.064695835
1228,0.05799279
1229,0.03819134
1230,0.06935455
1231,0.05412405
1232,0.061455034
1233,0.06578461
1234,0.059715092
1235,0.06820445
1236,0.06475006
1237,0.03848874
1238,0.033939317
1239,0.050467633
1240,0.044707943
1241,0.05906229
1242,0.054970276
1243,0.06334357
1244,0.039909992
1245,0.036824074
1246,0.06101688
1247,0.051750723
1248,0.056579057
1249,0.049565833
1250,0.074282944
1251,0.032174423
1252,0.06426801
1253,0.06537897
1254,0.101957686
1255,0.054013383
1256,0.04141577
1257,0.045916867
1258,0.041855298
1259,0.05009512
1260,0.07203251
1261,0.0760822
1262,0.07107305
1263,0.048590582
1264,0.05304188
1265,0.049839832
1266,0.05692501
1267,0.04458422
1268,0.04960051
1269,0.05024164
1270,0.049789906
1271,0.05731481
1272,0.052184425
1273,0.056244165
1274,0.040232927
1275,0.052130014
1276,0.08253191
1277,0.04382037
1278,0.06901173
1279,0.0684575
1280,0.0500696
1281,0.07209669
1282,0.046501923
1283,0.04820143
1284,0.05348762
1285,0.052793093
1286,0.0794111
1287,0.076812975
1288,0.050026752
1289,0.071656376
1290,0.057388768
1291,0.04277325
1292,0.055756185
1293,0.041544523
1294,0.05094542
1295,0.05497235
1296,0.03885915
1297,0.079548955
1298,0.06080425
1299,0.046305265
1300,0.060319748
1301,0.03918612
1302,0.07300594
1303,0.05255642
1304,0.039169014
1305,0.06135654
1306,0.037701774
1307,0.04350517
1308,0.037927058
1309,0.057608098
1310,0.04425247
1311,0.056883268
1312,0.11198207
1313,0.07816741
1314,0.084124416
1315,0.09527054
1316,0.12653512
1317,0.14520325
